Línea 4: [Tipo: PALABRA_RESERVADA, Valor: entero]
Línea 40: [Tipo: DELIMITADOR, Valor: (]
Línea 40: [Tipo: OP_LOGICO, Valor: !]
Línea 40: [Tipo: DELIMITADOR, Valor: )]
Línea 40: [Tipo: DELIMITADOR, Valor: {]
Línea 41: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 41: [Tipo: LIT_CADENA, Valor: 'Esto no deberia imprimirse si estadoActivo es 1']
Línea 42: [Tipo: DELIMITADOR, Valor: }]
Línea 43: [Tipo: DELIMITADOR, Valor: }]
Línea 46: [Tipo: PALABRA_RESERVADA, Valor: mostrar]
Línea 46: [Tipo: LIT_CADENA, Valor: 'Analisis lexico finalizado sin errores.']
